2026-09-17 14:23:34 host worker05.cluster job 3318989 task 6 stage recon cpus 8
slice 06: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 0.0001114 (2s)
  ite = 0, cost = 0.000081
  ite = 1, cost = 0.000067
  ite = 2, cost = 0.000057
  ite = 3, cost = 0.000052
  ite = 4, cost = 0.000046
  ite = 5, cost = 0.000044
  ite = 6, cost = 0.000044
  ite = 7, cost = 0.000042
  ite = 8, cost = 0.000041
  ite = 0, cost = 0.000038
  ite = 1, cost = 0.000038
  ite = 2, cost = 0.000037
  ite = 3, cost = 0.000036
  ite = 4, cost = 0.000035
  ite = 5, cost = 0.000035
  ite = 6, cost = 0.000034
  ite = 7, cost = 0.000033
  ite = 8, cost = 0.000032
  ite = 0, cost = 0.000031
  ite = 1, cost = 0.000030
  ite = 2, cost = 0.000030
  ite = 3, cost = 0.000030
  ite = 4, cost = 0.000030
  ite = 5, cost = 0.000030
  ite = 6, cost = 0.000029
  ite = 7, cost = 0.000029
  ite = 8, cost = 0.000029
SAVED slice 06 glam0.02 lam=1.52e-06 (192, 192, 102) finite=True (305s)
SLICE_DONE 06 307s
